"STREAM","AVISIT","AVISITN","TARGET_DY","WLO","WHI"
"TREATMENT","Baseline",0,-14,-Inf,-7
"TREATMENT","C1D1",1,1,-6,8
"TREATMENT","C1D15",2,15,9,18
"TREATMENT","C2D1",3,22,19,32
"TREATMENT","C3D1",4,43,33,53
"TREATMENT","C4D1",5,64,54,74
"TREATMENT","C5D1",6,85,75,95
"TREATMENT","C6D1",7,106,96,116
"TREATMENT","MAINT_C1D1",10,127,117,137
"TREATMENT","MAINT_C2D1",11,148,138,158
"TREATMENT","MAINT_C3D1",12,169,159,179
"TREATMENT","MAINT_C4D1",13,190,180,200
"TREATMENT","MAINT_C5D1",14,211,201,221
"TREATMENT","MAINT_C6D1",15,232,222,242
"TREATMENT","MAINT_C7D1",16,253,243,263
"TREATMENT","MAINT_C8D1",17,274,264,284
"TREATMENT","MAINT_C9D1",18,295,285,305
"TREATMENT","MAINT_C10D1",19,316,306,326
"TREATMENT","MAINT_C11D1",20,337,327,347
"TREATMENT","MAINT_C12D1",21,358,348,368
"TREATMENT","MAINT_C13D1",22,379,369,389
"TREATMENT","MAINT_C14D1",23,400,390,410
"TREATMENT","MAINT_C15D1",24,421,411,431
"TREATMENT","MAINT_C16D1",25,442,432,452
"TREATMENT","MAINT_C17D1",26,463,453,473
"TREATMENT","MAINT_C18D1",27,484,474,494
"TREATMENT","MAINT_C19D1",28,505,495,515
"TREATMENT","MAINT_C20D1",29,526,516,536
"TREATMENT","MAINT_C21D1",30,547,537,557
"TREATMENT","MAINT_C22D1",31,568,558,578
"TREATMENT","MAINT_C23D1",32,589,579,599
"TREATMENT","MAINT_C24D1",33,610,600,620
"TREATMENT","MAINT_C25D1",34,631,621,641
"TREATMENT","MAINT_C26D1",35,652,642,662
"TREATMENT","MAINT_C27D1",36,673,663,683
"TREATMENT","MAINT_C28D1",37,694,684,704
"TREATMENT","MAINT_C29D1",38,715,705,725
"TREATMENT","MAINT_C30D1",39,736,726,746
"TREATMENT","MAINT_C31D1",40,757,747,767
"TREATMENT","MAINT_C32D1",41,778,768,788
"TREATMENT","MAINT_C33D1",42,799,789,809
"TREATMENT","MAINT_C34D1",43,820,810,830
"TREATMENT","MAINT_C35D1",44,841,831,851
"TREATMENT","MAINT_C36D1",45,862,852,872
"TREATMENT","MAINT_C37D1",46,883,873,893
"TREATMENT","MAINT_C38D1",47,904,894,914
"TREATMENT","MAINT_C39D1",48,925,915,935
"TREATMENT","MAINT_C40D1",49,946,936,956
"TREATMENT","MAINT_C41D1",50,967,957,977
"TREATMENT","MAINT_C42D1",51,988,978,998
"TREATMENT","MAINT_C43D1",52,1009,999,1019
"TREATMENT","MAINT_C44D1",53,1030,1020,1040
"TREATMENT","MAINT_C45D1",54,1051,1041,1061
"TREATMENT","MAINT_C46D1",55,1072,1062,1082
"TREATMENT","MAINT_C47D1",56,1093,1083,1103
"TREATMENT","MAINT_C48D1",57,1114,1104,1124
"TREATMENT","MAINT_C49D1",58,1135,1125,1145
"TREATMENT","MAINT_C50D1",59,1156,1146,Inf
"TUMOUR","Baseline",0,-14,-Inf,14
"TUMOUR","TUMOR_ASSESS_WK6",6,42,15,63
"TUMOUR","TUMOR_ASSESS_WK12",12,84,64,105
"TUMOUR","TUMOR_ASSESS_WK18",18,126,106,147
"TUMOUR","TUMOR_ASSESS_WK24",24,168,148,189
"TUMOUR","TUMOR_ASSESS_WK30",30,210,190,231
"TUMOUR","TUMOR_ASSESS_WK36",36,252,232,273
"TUMOUR","TUMOR_ASSESS_WK42",42,294,274,315
"TUMOUR","TUMOR_ASSESS_WK48",48,336,316,357
"TUMOUR","TUMOR_ASSESS_WK54",54,378,358,399
"TUMOUR","TUMOR_ASSESS_WK60",60,420,400,441
"TUMOUR","TUMOR_ASSESS_WK66",66,462,442,483
"TUMOUR","TUMOR_ASSESS_WK72",72,504,484,525
"TUMOUR","TUMOR_ASSESS_WK78",78,546,526,567
"TUMOUR","TUMOR_ASSESS_WK84",84,588,568,609
"TUMOUR","TUMOR_ASSESS_WK90",90,630,610,651
"TUMOUR","TUMOR_ASSESS_WK96",96,672,652,693
"TUMOUR","TUMOR_ASSESS_WK102",102,714,694,735
"TUMOUR","TUMOR_ASSESS_WK108",108,756,736,777
"TUMOUR","TUMOR_ASSESS_WK114",114,798,778,819
"TUMOUR","TUMOR_ASSESS_WK120",120,840,820,Inf
